order_id,datetime,is_weekend,is_festive_season,app,city,city_tier,category,items_ordered,order_amount_rupees,discount_rupees,final_amount_rupees,delivery_fee_rupees,payment_mode,delivery_slot,delivery_time_minutes,dark_store_id,order_status,cancel_return_reason,customer_rating,age_group,gender,user_type,customer_lifetime_orders,days_since_last_order,promo_code_used,estimated_delivery_distance_km
QC2015000015106,22-05-2015 07:42,0,0,Dunzo Daily,Pune,Tier 1,Snacks & Beverages,4,280.72,0,280.72,42,Debit Card,60+ min,72.9,DS0289,Delivered,,3.7,25-34,Male,New User,0,,No Promo,0.49
QC2015000015107,01-06-2015 09:21,0,0,Dunzo Daily,Ahmedabad,Tier 1,Baby Products,5,166.38,16.64,149.74,24,Cash on Delivery,20-30 min,26.3,DS0204,Delivered,,4.2,45-54,Female,New User,0,,,2.23
QC2015000015108,08-10-2015 20:53,0,0,Dunzo Daily,Mumbai,Tier 1,Groceries & Staples,6,272.08,81.62,190.46,38,Cash on Delivery,20-30 min,26.5,DS0007,Delivered,,3.3,35-44,Male,New User,0,,No Promo,0.5
QC2015000015109,12-10-2015 11:38,0,0,Dunzo Daily,Pune,Tier 1,Beauty & Skincare,3,641.62,0,641.62,0,Cash on Delivery,30-45 min,35.3,DS0044,Delivered,,4.9,25-34,Male,New User,0,,No Promo,0.89
QC2015000015110,15-10-2015 16:59,0,0,Dunzo Daily,Ahmedabad,Tier 1,Personal Care,4,109.29,16.39,92.9,15,Cash on Delivery,30-45 min,42.4,DS0033,Delivered,,3.8,25-34,Male,Returning User,,43,Referral,1.96
QC2015000015111,13-04-2015 10:15,0,0,Dunzo Daily,Pune,Tier 1,Groceries & Staples,3,227.14,45.43,181.71,44,Cash on Delivery,20-30 min,22.4,DS0095,Delivered,,4.7,25-34,Male,Returning User,27,32,No Promo,1.5
QC2015000015112,28-04-2015 13:44,0,0,Dunzo Daily,Chennai,Tier 1,Electronics,1,390.14,97.54,292.6,50,Cash on Delivery,20-30 min,25.6,DS0362,Cancelled,Item out of stock,2.8,18-24,Male,Returning User,8,14,Referral,0.3
QC2015000015113,01-12-2015 10:35,0,0,Dunzo Daily,Ahmedabad,Tier 1,Electronics,3,392.01,0,392.01,39,Cash on Delivery,45-60 min,49.5,DS0214,Cancelled,Wrong address,,18-24,Female,New User,0,,No Promo,0.49
QC2015000015114,07-08-2015 16:05,0,0,Dunzo Daily,Bengaluru,Tier 1,Medicines,4,182.53,45.63,136.9,30,Cash on Delivery,30-45 min,28.9,DS0159,Delivered,,,45-54,Male,Returning User,19,54,No Promo,2.1
QC2015000015115,16-01-2015 21:07,0,0,Dunzo Daily,Hyderabad,Tier 1,Groceries & Staples,5,195.6,58.68,136.92,49,Cash on Delivery,20-30 min,21.1,DS0281,Delivered,,5,25-34,Female,Returning User,5,13,No Promo,0.4
QC2015000015116,15-06-2015 07:48,0,0,Dunzo Daily,Chennai,Tier 1,Dairy & Eggs,5,499.59,74.94,424.65,39,Cash on Delivery,45-60 min,48.7,DS0300,Delivered,,3.4,18-24,Male,Returning User,5,8,No Promo,0.3
QC2015000015117,03-09-2015 19:36,0,0,Dunzo Daily,Hyderabad,Tier 1,Fruits & Vegetables,7,182.88,0,182.88,48,Cash on Delivery,20-30 min,30.4,DS0256,Delivered,,4.3,35-44,Female,Returning User,10,2,No Promo,1.32
QC2015000015118,12-09-2015 17:37,1,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,5,355.53,0,355.53,18,Cash on Delivery,45-60 min,52,DS0003,Delivered,,4,45-54,Female,Premium User,199,7,,0.9
QC2015000015119,04-05-2015 05:26,0,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,1,286.95,14.35,272.6,37,Cash on Delivery,45-60 min,43,DS0168,Delivered,,4.5,18-24,Male,Returning User,33,14,No Promo,1.98
QC2015000015120,20-04-2015 21:49,0,0,Dunzo Daily,Bengaluru,Tier 1,Personal Care,3,401,0,401,39,Wallet,30-45 min,27.2,DS0279,Delivered,,3.4,55+,Female,Returning User,30,8,No Promo,2.69
QC2015000015121,23-10-2015 10:23,0,0,Dunzo Daily,Delhi,Tier 1,Electronics,4,280.53,0,280.53,45,Cash on Delivery,10-20 min,21.9,DS0295,Delivered,,4.3,55+,Male,Premium User,120,2,No Promo,1.63
QC2015000015122,10-07-2015 12:29,0,0,Dunzo Daily,Chennai,Tier 1,Groceries & Staples,2,404.6,101.15,303.45,26,Credit Card,30-45 min,43.9,DS0087,Delivered,,3.7,18-24,Male,Returning User,11,33,No Promo,
QC2015000015123,24-11-2015 10:08,0,0,Dunzo Daily,Mumbai,Tier 1,Personal Care,6,208.58,0,208.58,35,Debit Card,45-60 min,69.1,DS0458,Delivered,,3.9,45-54,Female,New User,0,,No Promo,1.47
QC2015000015124,05-03-2015 18:03,0,0,Dunzo Daily,Ahmedabad,Tier 1,Household,3,214.4,21.44,192.96,37,Cash on Delivery,60+ min,86.2,DS0499,Delivered,,3.6,25-34,Male,Premium User,145,2,No Promo,0.55
QC2015000015125,07-03-2015 07:13,1,0,Dunzo Daily,Chennai,Tier 1,Personal Care,5,228.54,0,228.54,48,Cash on Delivery,20-30 min,22.2,DS0011,Delivered,,5,25-34,Male,New User,0,,No Promo,2.46
QC2015000015126,15-08-2015 17:03,1,0,Dunzo Daily,Mumbai,Tier 1,Groceries & Staples,3,742.82,0,742.82,0,Cash on Delivery,45-60 min,54.4,DS0036,Cancelled,Changed my mind,4.2,25-34,Male,Premium User,197,5,First Order Discount,1.47
QC2015000015127,28-01-2015 16:26,0,0,Dunzo Daily,Mumbai,Tier 1,Fruits & Vegetables,2,543.94,0,543.94,0,Cash on Delivery,30-45 min,24.6,DS0051,Returned,Changed my mind,1.7,25-34,Female,New User,0,,No Promo,1.02
QC2015000015128,26-09-2015 18:48,1,0,Dunzo Daily,Hyderabad,Tier 1,Dairy & Eggs,4,252.51,0,252.51,32,Wallet,45-60 min,65.7,DS0197,Cancelled,Changed my mind,1.8,25-34,Male,Returning User,14,24,No Promo,1.2
QC2015000015129,10-01-2015 16:48,1,0,Dunzo Daily,Chennai,Tier 1,Baby Products,5,161.46,32.29,129.17,15,Debit Card,20-30 min,30.8,DS0024,Delivered,,4.4,45-54,Female,Premium User,184,3,No Promo,1.04
QC2015000015130,03-05-2015 11:37,1,0,Dunzo Daily,Hyderabad,Tier 1,Beauty & Skincare,4,279.16,41.87,237.29,34,Cash on Delivery,30-45 min,45.1,DS0216,Delivered,,,25-34,Male,Returning User,10,38,,1.11
QC2015000015131,22-10-2015 16:15,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,3,172.98,0,172.98,13,Cash on Delivery,30-45 min,39.4,DS0225,Delivered,,,35-44,Female,Returning User,20,32,No Promo,
QC2015000015132,16-08-2015 09:06,1,0,Dunzo Daily,Hyderabad,Tier 1,Personal Care,1,485.18,121.3,363.88,30,Cash on Delivery,60+ min,66.6,DS0071,Delivered,,2.8,25-34,Male,Returning User,17,,No Promo,0.45
QC2015000015133,16-03-2015 22:53,0,0,Dunzo Daily,Chennai,Tier 1,Baby Products,2,174.13,0,174.13,22,Cash on Delivery,30-45 min,,DS0061,Delivered,,3.1,35-44,Female,Returning User,12,33,No Promo,0.85
QC2015000015134,08-10-2015 10:59,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,7,226.18,0,226.18,30,Cash on Delivery,60+ min,78.4,DS0144,Delivered,,4,18-24,Female,Returning User,6,4,No Promo,0.34
QC2015000015135,20-12-2015 08:49,1,0,Dunzo Daily,Chennai,Tier 1,Personal Care,2,253.59,12.68,240.91,41,Cash on Delivery,60+ min,65.8,DS0470,Delivered,,,25-34,Male,Premium User,102,14,No Promo,1.25
QC2015000015136,25-10-2015 13:50,1,0,Dunzo Daily,Mumbai,Tier 1,Medicines,2,224.29,0,224.29,36,Cash on Delivery,60+ min,89.2,DS0478,Delivered,,4.6,18-24,Female,New User,0,,No Promo,1.23
QC2015000015137,14-06-2015 07:19,1,0,Dunzo Daily,Hyderabad,Tier 1,Dairy & Eggs,4,439.15,0,439.15,21,Cash on Delivery,45-60 min,59.9,DS0261,Delivered,,,18-24,Male,Returning User,24,19,,2.27
QC2015000015138,01-06-2015 18:04,0,0,Dunzo Daily,Kolkata,Tier 1,Dairy & Eggs,1,108.26,0,108.26,22,Debit Card,60+ min,75.3,DS0033,Delivered,,4.2,45-54,Male,New User,0,,Referral,2.25
QC2015000015139,12-12-2015 19:18,1,0,Dunzo Daily,Hyderabad,Tier 1,Electronics,2,496.37,0,496.37,39,Cash on Delivery,20-30 min,24.1,DS0270,Delivered,,3.3,18-24,Female,Premium User,193,11,No Promo,0.73
QC2015000015140,14-01-2015 21:53,0,0,Dunzo Daily,Hyderabad,Tier 1,Snacks & Beverages,6,529.66,0,529.66,0,Cash on Delivery,20-30 min,26.2,DS0486,Delivered,,3.2,45-54,Female,New User,0,,,0.79
QC2015000015141,09-09-2015 10:10,0,0,Dunzo Daily,Kolkata,Tier 1,Baby Products,5,167.79,0,167.79,37,Credit Card,30-45 min,40.6,DS0090,Delivered,,3,25-34,Male,Premium User,112,2,No Promo,1.16
QC2015000015142,15-06-2015 09:45,0,0,Dunzo Daily,Hyderabad,Tier 1,Electronics,3,350.12,0,350.12,22,Cash on Delivery,20-30 min,29.9,DS0126,Delivered,,4.5,25-34,Female,New User,0,,No Promo,1.38
QC2015000015143,25-02-2015 21:00,0,0,Dunzo Daily,Ahmedabad,Tier 1,Personal Care,5,139.95,14,125.95,16,Cash on Delivery,20-30 min,24.1,DS0176,Delivered,,4.6,25-34,Male,New User,0,,No Promo,2.22
QC2015000015144,11-05-2015 22:58,0,0,Dunzo Daily,Mumbai,Tier 1,Household,6,274.64,27.46,247.18,25,Wallet,20-30 min,30.6,DS0275,Delivered,,4.4,25-34,Male,Returning User,28,5,No Promo,1.51
QC2015000015145,14-08-2015 12:12,0,0,Dunzo Daily,Mumbai,Tier 1,Baby Products,2,170.32,42.58,127.74,31,Cash on Delivery,20-30 min,18.7,DS0442,Delivered,,4.1,18-24,Male,New User,0,,No Promo,1
QC2015000015146,05-10-2015 16:58,0,0,Dunzo Daily,Mumbai,Tier 1,Fruits & Vegetables,8,169.52,42.38,127.14,30,Cash on Delivery,30-45 min,33.3,DS0307,Delivered,,4,18-24,Male,New User,0,,No Promo,
QC2015000015147,14-03-2015 10:18,1,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,1,421.75,0,421.75,35,Debit Card,60+ min,71.1,DS0048,Cancelled,Ordered by mistake,2.4,55+,Male,New User,0,,No Promo,1.51
QC2015000015148,13-11-2015 14:48,0,0,Dunzo Daily,Hyderabad,Tier 1,Beauty & Skincare,2,184.36,9.22,175.14,28,Cash on Delivery,20-30 min,31,DS0328,Delivered,,3.9,35-44,Male,Returning User,13,2,No Promo,0.8
QC2015000015149,17-07-2015 18:47,0,0,Dunzo Daily,Delhi,Tier 1,Dairy & Eggs,4,183.24,18.32,164.92,47,Wallet,10-20 min,13.7,DS0375,Delivered,,4.2,18-24,Male,New User,0,,No Promo,0.33
QC2015000015150,07-10-2015 20:26,0,0,Dunzo Daily,Pune,Tier 1,Snacks & Beverages,6,234.5,0,234.5,40,Cash on Delivery,30-45 min,45.9,DS0316,Delivered,,3.2,25-34,Male,New User,0,,No Promo,0.3
QC2015000015151,18-09-2015 00:13,0,0,Dunzo Daily,Hyderabad,Tier 1,Baby Products,2,153.1,7.66,145.44,42,Cash on Delivery,45-60 min,63.8,DS0240,Delivered,,,18-24,Male,Returning User,39,43,No Promo,1.53
QC2015000015152,07-10-2015 21:21,0,0,Dunzo Daily,Ahmedabad,Tier 1,Snacks & Beverages,2,223.74,44.75,178.99,47,Cash on Delivery,20-30 min,30.7,DS0346,Delivered,,2.9,25-34,Male,New User,0,,No Promo,1.75
QC2015000015153,19-10-2015 16:39,0,0,Dunzo Daily,Delhi,Tier 1,Medicines,4,218.74,0,218.74,32,Wallet,30-45 min,32.1,DS0284,Delivered,,4.1,25-34,Male,Returning User,6,12,No Promo,2.1
QC2015000015154,17-01-2015 19:53,1,0,Dunzo Daily,Chennai,Tier 1,Groceries & Staples,2,226.6,56.65,169.95,26,Cash on Delivery,20-30 min,30.3,DS0232,Delivered,,,45-54,Female,New User,0,,No Promo,1.38
QC2015000015155,08-10-2015 07:29,0,0,Dunzo Daily,Kolkata,Tier 1,Medicines,3,117.01,0,117.01,34,Cash on Delivery,30-45 min,44,DS0067,Delivered,,3.9,35-44,Female,New User,0,,No Promo,1.62
QC2015000015156,03-05-2015 10:10,1,0,Dunzo Daily,Kolkata,Tier 1,Baby Products,3,274.7,0,274.7,26,Cash on Delivery,20-30 min,23.3,DS0213,Delivered,,,35-44,Male,New User,0,,No Promo,1
QC2015000015157,19-11-2015 15:35,0,0,Dunzo Daily,Mumbai,Tier 1,Household,1,144.05,36.01,108.04,49,Cash on Delivery,20-30 min,28.7,DS0335,Delivered,,3.9,55+,Male,Returning User,6,30,No Promo,1.52
QC2015000015158,18-02-2015 19:42,0,0,Dunzo Daily,Ahmedabad,Tier 1,Electronics,2,127.61,0,127.61,37,Cash on Delivery,45-60 min,56.4,DS0241,Delivered,,4.9,55+,Female,New User,0,,No Promo,1.04
QC2015000015159,28-08-2015 17:12,0,0,Dunzo Daily,Chennai,Tier 1,Fruits & Vegetables,2,538.18,0,538.18,0,Cash on Delivery,30-45 min,43.1,DS0497,Delivered,,,25-34,Male,Premium User,157,10,No Promo,0.92
QC2015000015160,14-06-2015 15:56,1,0,Dunzo Daily,Bengaluru,Tier 1,Electronics,1,239.34,23.93,215.41,35,Cash on Delivery,10-20 min,19.1,DS0446,Delivered,,,25-34,Male,Premium User,158,4,No Promo,1.6
QC2015000015161,06-11-2015 13:53,0,0,Dunzo Daily,Bengaluru,Tier 1,Medicines,2,125.93,0,125.93,33,Cash on Delivery,30-45 min,42.7,DS0034,Cancelled,Item out of stock,2.3,25-34,Male,New User,0,,No Promo,1.3
QC2015000015162,14-04-2015 19:18,0,0,Dunzo Daily,Hyderabad,Tier 1,Snacks & Beverages,4,379,0,379,27,Cash on Delivery,20-30 min,27,DS0381,Delivered,,4.2,55+,Female,Returning User,26,52,First Order Discount,0.69
QC2015000015163,21-06-2015 15:39,1,0,Dunzo Daily,Kolkata,Tier 1,Fruits & Vegetables,3,207.28,31.09,176.19,28,Cash on Delivery,45-60 min,47.2,DS0354,Delivered,,,25-34,Female,Returning User,28,23,No Promo,0.3
QC2015000015164,31-05-2015 06:10,1,0,Dunzo Daily,Chennai,Tier 1,Electronics,4,193.4,0,193.4,29,Cash on Delivery,45-60 min,48.7,DS0020,Delivered,,4.7,55+,Male,Returning User,25,23,,1.33
QC2015000015165,12-10-2015 01:49,0,0,Dunzo Daily,Bengaluru,Tier 1,Beauty & Skincare,7,389.75,0,389.75,42,Cash on Delivery,30-45 min,38.6,DS0073,Delivered,,3.5,25-34,Female,Returning User,9,54,No Promo,1.93
QC2015000015166,18-02-2015 05:21,0,0,Dunzo Daily,Bengaluru,Tier 1,Dairy & Eggs,2,124.13,6.21,117.92,14,Cash on Delivery,20-30 min,21.9,DS0175,Delivered,,4.5,25-34,Male,New User,0,,First Order Discount,1.11
QC2015000015167,28-11-2015 18:00,1,0,Dunzo Daily,Ahmedabad,Tier 1,Personal Care,1,154.47,0,154.47,45,Cash on Delivery,45-60 min,45.4,DS0179,Delivered,,2.7,45-54,Male,Returning User,38,56,No Promo,0.8
QC2015000015168,20-04-2015 14:43,0,0,Dunzo Daily,Chennai,Tier 1,Beauty & Skincare,4,340.48,0,340.48,46,Cash on Delivery,30-45 min,30.8,DS0310,Delivered,,4.3,55+,Male,Returning User,10,36,No Promo,1.07
QC2015000015169,07-04-2015 07:13,0,0,Dunzo Daily,Kolkata,Tier 1,Electronics,3,204.23,61.27,142.96,49,Cash on Delivery,45-60 min,57.9,DS0377,Delivered,,5,18-24,Female,New User,0,,No Promo,1.64
QC2015000015170,13-12-2015 09:07,1,0,Dunzo Daily,Bengaluru,Tier 1,Beauty & Skincare,5,364.55,109.36,255.19,13,Cash on Delivery,60+ min,62.3,DS0323,Delivered,,3.6,25-34,Female,New User,0,,No Promo,0.81
QC2015000015171,17-09-2015 19:19,0,0,Dunzo Daily,Mumbai,Tier 1,Medicines,2,199.42,9.97,189.45,28,Cash on Delivery,30-45 min,50.7,DS0324,Delivered,,3.7,18-24,Male,Premium User,86,1,No Promo,1.82
QC2015000015172,30-06-2015 16:14,0,0,Dunzo Daily,Chennai,Tier 1,Fruits & Vegetables,6,288.9,57.78,231.12,40,Cash on Delivery,20-30 min,28.6,DS0124,Delivered,,4.1,35-44,Male,Premium User,60,7,First Order Discount,1.64
QC2015000015173,10-05-2015 22:26,1,0,Dunzo Daily,Kolkata,Tier 1,Snacks & Beverages,4,208.16,0,208.16,47,Cash on Delivery,20-30 min,,DS0376,Delivered,,4.3,45-54,Other,New User,0,,No Promo,1.5
QC2015000015174,20-10-2015 20:27,0,0,Dunzo Daily,Mumbai,Tier 1,Fruits & Vegetables,3,352.02,0,352.02,28,Cash on Delivery,20-30 min,28.2,DS0237,Delivered,,4.1,25-34,Male,Returning User,10,47,No Promo,1.73
QC2015000015175,02-07-2015 14:40,0,0,Dunzo Daily,Pune,Tier 1,Fruits & Vegetables,4,209.28,52.32,156.96,40,Cash on Delivery,60+ min,48.5,DS0414,Cancelled,Ordered by mistake,4.2,25-34,Male,New User,0,,No Promo,1.45
QC2015000015176,10-09-2015 16:39,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,2,371.11,0,371.11,43,Cash on Delivery,45-60 min,32.8,DS0483,Delivered,,3.2,45-54,Male,Returning User,16,51,First Order Discount,1.15
QC2015000015177,08-09-2015 21:22,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,4,298.78,29.88,268.9,46,Cash on Delivery,10-20 min,15.5,DS0321,Delivered,,3.1,18-24,Male,New User,0,,No Promo,0.77
QC2015000015178,15-11-2015 20:21,1,0,Dunzo Daily,Mumbai,Tier 1,Snacks & Beverages,5,187.14,0,187.14,44,Cash on Delivery,60+ min,46.7,DS0210,Delivered,,,55+,Female,New User,0,,No Promo,0.99
QC2015000015179,29-09-2015 10:06,0,0,Dunzo Daily,Pune,Tier 1,Fruits & Vegetables,6,225.61,0,225.61,20,Cash on Delivery,30-45 min,37.7,DS0355,Delivered,,4,25-34,Male,Returning User,22,59,First Order Discount,0.56
QC2015000015180,10-04-2015 20:51,0,0,Dunzo Daily,Bengaluru,Tier 1,Fruits & Vegetables,3,218,43.6,174.4,24,Cash on Delivery,60+ min,84.9,DS0200,Delivered,,4.1,25-34,Male,Returning User,39,10,Referral,0.39
QC2015000015181,10-01-2015 18:42,1,0,Dunzo Daily,Kolkata,Tier 1,Baby Products,5,269.59,0,269.59,45,Cash on Delivery,Under 10 min,10.3,DS0020,Delivered,,4.3,35-44,Male,New User,0,,First Order Discount,1.07
QC2015000015182,12-07-2015 21:00,1,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,5,197.07,0,197.07,14,Credit Card,45-60 min,54.7,DS0022,Delivered,,4.5,25-34,Female,New User,0,,No Promo,1.02
QC2015000015183,19-03-2015 20:55,0,0,Dunzo Daily,Chennai,Tier 1,Baby Products,5,203.92,61.18,142.74,34,Debit Card,45-60 min,44.7,DS0106,Delivered,,4.1,18-24,Female,New User,0,,No Promo,1.54
QC2015000015184,09-02-2015 21:31,0,0,Dunzo Daily,Kolkata,Tier 1,Personal Care,1,293.81,0,293.81,16,Buy Now Pay Later,30-45 min,37.1,DS0079,Delivered,,4,18-24,Male,New User,0,,No Promo,0.3
QC2015000015185,16-11-2015 10:13,0,0,Dunzo Daily,Bengaluru,Tier 1,Personal Care,7,740.38,0,740.38,0,Cash on Delivery,20-30 min,22.9,DS0133,Delivered,,3.6,25-34,Female,New User,0,,No Promo,1.95
QC2015000015186,08-01-2015 13:37,0,0,Dunzo Daily,Kolkata,Tier 1,Dairy & Eggs,1,324.42,0,324.42,41,Cash on Delivery,20-30 min,29.4,DS0424,Delivered,,3.7,45-54,Male,New User,0,,No Promo,1.67
QC2015000015187,22-02-2015 13:33,1,0,Dunzo Daily,Chennai,Tier 1,Electronics,6,134.39,0,134.39,46,Debit Card,45-60 min,33.3,DS0489,Delivered,,3.3,45-54,Female,Returning User,,43,No Promo,1.72
QC2015000015188,25-12-2015 16:53,0,0,Dunzo Daily,Ahmedabad,Tier 1,Snacks & Beverages,5,309.64,0,309.64,13,Cash on Delivery,60+ min,80.1,DS0151,Cancelled,Ordered by mistake,2.9,35-44,Female,Returning User,39,19,No Promo,2.21
QC2015000015189,21-04-2015 17:29,0,0,Dunzo Daily,Bengaluru,Tier 1,Fruits & Vegetables,6,444.56,0,444.56,21,Cash on Delivery,30-45 min,45.1,DS0422,Delivered,,4.4,18-24,Female,New User,0,,Referral,1.87
QC2015000015190,18-11-2015 13:33,0,0,Dunzo Daily,Pune,Tier 1,Medicines,2,194.73,19.47,175.26,20,Cash on Delivery,10-20 min,17.5,DS0034,Delivered,,,18-24,Female,Returning User,37,6,No Promo,0.74
QC2015000015191,16-05-2015 07:33,1,0,Dunzo Daily,Chennai,Tier 1,Household,3,313.66,0,313.66,11,Cash on Delivery,30-45 min,42.3,DS0295,Delivered,,3.8,25-34,Other,Returning User,13,44,Referral,1.85
QC2015000015192,23-03-2015 08:07,0,0,Dunzo Daily,Delhi,Tier 1,Medicines,4,198.52,49.63,148.89,39,Cash on Delivery,45-60 min,44.5,DS0038,Delivered,,3.8,25-34,Female,New User,0,,No Promo,
QC2015000015193,02-09-2015 12:01,0,0,Dunzo Daily,Chennai,Tier 1,Snacks & Beverages,4,129.37,38.81,90.56,20,Cash on Delivery,20-30 min,30.3,DS0336,Delivered,,,55+,Male,New User,0,,Referral,1.19
QC2015000015194,13-12-2015 19:10,1,0,Dunzo Daily,Delhi,Tier 1,Household,3,192.3,0,192.3,17,Debit Card,20-30 min,25.5,DS0181,Delivered,,2.7,25-34,Female,Returning User,35,28,No Promo,1.82
QC2015000015195,07-03-2015 14:32,1,0,Dunzo Daily,Bengaluru,Tier 1,Personal Care,3,216.34,32.45,183.89,23,Cash on Delivery,30-45 min,34.9,DS0462,Delivered,,3.4,35-44,Male,New User,0,,No Promo,0.3
QC2015000015196,15-11-2015 19:13,1,0,Dunzo Daily,Mumbai,Tier 1,Household,1,223.79,0,223.79,13,Cash on Delivery,45-60 min,,DS0418,Delivered,,3.4,18-24,Male,New User,0,,No Promo,1.05
QC2015000015197,09-04-2015 10:00,0,0,Dunzo Daily,Bengaluru,Tier 1,Medicines,4,446.84,89.37,357.47,41,Cash on Delivery,45-60 min,61.2,DS0495,Delivered,,4.4,18-24,Female,New User,0,,No Promo,1.61
QC2015000015198,18-11-2015 10:20,0,0,Dunzo Daily,Delhi,Tier 1,Groceries & Staples,2,221.95,66.58,155.37,34,Cash on Delivery,30-45 min,36.6,DS0253,Delivered,,3.9,18-24,Female,Returning User,24,25,No Promo,1.19
QC2015000015199,02-10-2015 09:40,0,0,Dunzo Daily,Delhi,Tier 1,Beauty & Skincare,6,178.93,17.89,161.04,25,Credit Card,45-60 min,51.4,DS0116,Delivered,,4.4,45-54,Male,Returning User,12,59,,0.76
QC2015000015200,11-09-2015 18:54,0,0,Dunzo Daily,Chennai,Tier 1,Electronics,3,180.53,27.08,153.45,41,Cash on Delivery,30-45 min,34.8,DS0164,Delivered,,3.1,35-44,Male,New User,0,,No Promo,0.53
QC2015000015201,28-05-2015 16:58,0,0,Dunzo Daily,Delhi,Tier 1,Personal Care,3,494.68,0,494.68,40,Cash on Delivery,45-60 min,52.4,DS0022,Delivered,,,45-54,Female,Returning User,38,35,No Promo,0.58
QC2015000015202,05-12-2015 16:48,1,0,Dunzo Daily,Chennai,Tier 1,Personal Care,1,255.22,0,255.22,14,Cash on Delivery,20-30 min,30.6,DS0218,Delivered,,3.7,45-54,Other,Returning User,24,32,First Order Discount,1.79
QC2015000015203,11-09-2015 14:56,0,0,Dunzo Daily,Ahmedabad,Tier 1,Dairy & Eggs,3,158.23,0,158.23,41,Cash on Delivery,30-45 min,30.8,DS0061,Delivered,,4.6,18-24,Male,Returning User,5,25,No Promo,1.15
QC2015000015204,18-12-2015 17:34,0,0,Dunzo Daily,Hyderabad,Tier 1,Medicines,2,389.92,0,389.92,20,Cash on Delivery,20-30 min,24.3,DS0292,Delivered,,4.6,45-54,Female,New User,0,,Referral,1.25
QC2015000015205,26-02-2015 20:45,0,0,Dunzo Daily,Delhi,Tier 1,Medicines,3,162.14,0,162.14,12,Cash on Delivery,10-20 min,13.2,DS0067,Delivered,,4.7,55+,Female,New User,0,,No Promo,2.39
QC2015000015206,18-04-2015 18:51,1,0,Dunzo Daily,Kolkata,Tier 1,Groceries & Staples,2,182.72,54.82,127.9,12,Cash on Delivery,20-30 min,21.6,DS0345,Delivered,,3.5,25-34,Female,Premium User,45,12,Referral,1.28
QC2015000015207,05-09-2015 16:48,1,0,Dunzo Daily,Ahmedabad,Tier 1,Beauty & Skincare,5,281.67,42.25,239.42,46,Cash on Delivery,30-45 min,47.4,DS0027,Delivered,,3.7,35-44,Male,New User,0,,No Promo,1.11
QC2015000015208,04-01-2015 08:08,1,0,Dunzo Daily,Mumbai,Tier 1,Electronics,7,367.58,91.9,275.68,40,Cash on Delivery,30-45 min,42.1,DS0150,Delivered,,4.4,35-44,Male,Premium User,94,8,No Promo,0.3
QC2015000015209,31-10-2015 14:21,1,0,Dunzo Daily,Ahmedabad,Tier 1,Dairy & Eggs,2,147.33,44.2,103.13,21,Cash on Delivery,30-45 min,38.3,DS0327,Delivered,,4,25-34,Male,Returning User,34,10,,1.42
QC2015000015210,19-12-2015 18:57,1,0,Dunzo Daily,Chennai,Tier 1,Beauty & Skincare,1,423.71,127.11,296.6,21,Wallet,20-30 min,22,DS0429,Delivered,,4.7,45-54,Male,New User,0,,No Promo,2.28
QC2015000015211,25-06-2015 12:06,0,0,Dunzo Daily,Kolkata,Tier 1,Electronics,2,393.69,0,393.69,20,Cash on Delivery,60+ min,79,DS0497,Delivered,,3.2,25-34,Female,Returning User,37,37,No Promo,0.95
QC2015000015212,04-05-2015 18:23,0,0,Dunzo Daily,Pune,Tier 1,Medicines,1,179.62,0,179.62,32,Wallet,30-45 min,40.3,DS0125,Delivered,,4.7,35-44,Male,Returning User,25,53,No Promo,2.53
QC2015000015213,29-06-2015 11:06,0,0,Dunzo Daily,Delhi,Tier 1,Medicines,4,275.74,41.36,234.38,21,Cash on Delivery,60+ min,59.7,DS0081,Delivered,,4.5,55+,Male,Returning User,29,54,No Promo,1.32
QC2015000015214,18-12-2015 13:10,0,0,Dunzo Daily,Ahmedabad,Tier 1,Baby Products,3,287.85,28.79,259.06,48,Debit Card,30-45 min,40.6,DS0170,Delivered,,4.5,18-24,Male,Returning User,12,52,First Order Discount,
QC2015000015215,03-03-2015 18:53,0,0,Dunzo Daily,Hyderabad,Tier 1,Groceries & Staples,2,201.65,0,201.65,24,Cash on Delivery,10-20 min,15.2,DS0426,Delivered,,4,45-54,Male,New User,0,,No Promo,1.55
QC2015000015216,08-05-2015 13:31,0,0,Dunzo Daily,Mumbai,Tier 1,Electronics,1,195.46,58.64,136.82,10,Cash on Delivery,20-30 min,27.2,DS0242,Delivered,,4.4,35-44,Female,Returning User,27,54,No Promo,0.86
QC2015000015217,30-05-2015 17:09,1,0,Dunzo Daily,Mumbai,Tier 1,Personal Care,1,253.47,12.67,240.8,40,Cash on Delivery,30-45 min,40.4,DS0059,Delivered,,3.6,35-44,Female,Premium User,114,5,No Promo,0.93
